2.5 -35.8075191665
2.6 -36.113284165
2.7 -36.3395456977
2.8 -36.5079068846
2.9 -36.6313347631
3.0 -36.7220603232
3.1 -36.7876961577
3.2 -36.8350901432
3.3 -36.8694386738
3.4 -36.8936326065
3.5 -36.9104952216
3.6 -36.922612083
3.7 -36.9311223561
3.8 -36.9371258964
3.9 -36.9407522587
4.0 -36.9436144231
4.1 -36.9446962119
4.2 -36.9455816809
4.3 -36.9468392053
4.4 -36.9465488127
4.5 -36.9462635541
4.6 -36.9466437403
4.7 -36.9460237734
4.8 -36.9454797106
4.9 -36.9451827573
5.0 -36.9447960087
5.1 -36.9441865486
5.2 -36.9439998482
5.3 -36.9434898935
5.4 -36.943293545
5.5 -36.9426821469
5.6 -36.942563604
5.7 -36.9425812438
5.8 -36.9422182888
5.9 -36.9420515428
6.0 -36.941855352
6.5 -36.9418335286
7.0 -36.9413764928
7.5 -36.9410099015
8.0 -36.941119711
8.5 -36.9412682031
9.0 -36.941374433
9.5 -36.9412911052
10.0 -36.9409773265
10.5 -36.9413222798
11.0 -36.9413409223
11.5 -36.9410471048
12.0 -36.9413048625
12.5 -36.9411184209
13.0 -36.9413534293
