2.5 -52.7290030102
2.6 -53.0675269732
2.7 -53.3270270606
2.8 -53.5133109791
2.9 -53.6493304897
3.0 -53.7527226489
3.1 -53.8209634758
3.2 -53.8677020736
3.3 -53.9025265262
3.4 -53.9208598223
3.5 -53.92986203
3.6 -53.9365951279
3.7 -53.9345283454
3.8 -53.9330592358
3.9 -53.9253714191
4.0 -53.916562999
4.1 -53.9100902406
4.2 -53.8995748879
4.3 -53.8890711117
4.4 -53.8817124894
4.5 -53.8714486418
4.6 -53.861872466
4.7 -53.8553330737
4.8 -53.8467758909
4.9 -53.8406360944
5.0 -53.832575394
5.1 -53.8256382724
5.2 -53.8210229996
5.3 -53.8146832416
5.4 -53.8089216041
5.5 -53.8058390559
5.6 -53.8008929111
5.7 -53.7962819416
5.8 -53.794436346
5.9 -53.7908000346
6.0 -53.7868029431
6.5 -53.7773125794
7.0 -53.7716733453
7.5 -53.7687807029
8.0 -53.7674246081
8.5 -53.7653027774
9.0 -53.7651252605
9.5 -53.7647984823
10.0 -53.7646486474
10.5 -53.7642110353
11.0 -53.7643827355
11.5 -53.7645012601
12.0 -53.7644342991
12.5 -53.7647288334
13.0 -53.7638786748
