2.5 -39.838194426
2.6 -40.0853437847
2.7 -40.2592695799
2.8 -40.3786770638
2.9 -40.4587725923
3.0 -40.5094870702
3.1 -40.5402785202
3.2 -40.5556213957
3.3 -40.5617169214
3.4 -40.5609252425
3.5 -40.555919799
3.6 -40.5489837524
3.7 -40.5393021579
3.8 -40.5312919053
3.9 -40.5226828847
4.0 -40.5142423098
4.1 -40.5071840597
4.2 -40.5008672499
4.3 -40.4950421201
4.4 -40.4900363706
4.5 -40.4862804208
4.6 -40.4825264178
4.7 -40.479390417
4.8 -40.4770646998
4.9 -40.4749325895
5.0 -40.4730896399
5.1 -40.4716692221
5.2 -40.4705912633
5.3 -40.4700077292
5.4 -40.4691603791
5.5 -40.4683312433
5.6 -40.4679169004
5.7 -40.4674255074
5.8 -40.4672455039
5.9 -40.4667805032
6.0 -40.4668989321
6.5 -40.4662375351
7.0 -40.466247335
7.5 -40.4660738877
8.0 -40.4662963414
8.5 -40.4659411371
9.0 -40.4659200529
9.5 -40.4661688919
10.0 -40.4659971732
10.5 -40.4659894146
11.0 -40.4662556524
11.5 -40.4658977857
12.0 -40.4663014015
12.5 -40.4661013875
13.0 -40.4659791718
